final-data-24h/tina-turner/2	6
final-data-24h/tina-turner/1	2
final-data-24h/mick-farren/1	19
final-data-24h/lil-boosie/1	2
final-data-24h/mike-miller/1	18
final-data-24h/mehdi-hasan/1	6
final-data-24h/norma-jean/1	8
final-data-24h/nick-curran/1	10
final-data-24h/ronnie-biggs/1	24
final-data-24h/noel-harrison/1	22
final-data-24h/vo-nguyen-giap/1	22
final-data-24h/jack-gilbert/1	11
final-data-24h/jakes-gerwel/1	11
final-data-24h/morgan-freeman/2	10
final-data-24h/morgan-freeman/3	24
final-data-24h/morgan-freeman/1	9
final-data-24h/louis-le-brocquy/1	4
final-data-24h/sunil-gangopadhyay/1	10
final-data-24h/bob-paisley/2	13
final-data-24h/bob-paisley/3	14
final-data-24h/bob-paisley/1	2
final-data-24h/john-mcafee/1	21
final-data-24h/paul-lorieau/1	19
final-data-24h/joe-mcbride/1	7
final-data-24h/lady-gaga/9	17
final-data-24h/lady-gaga/6	11
final-data-24h/lady-gaga/5	7
final-data-24h/lady-gaga/2	2
final-data-24h/lady-gaga/3	3
final-data-24h/lady-gaga/8	16
final-data-24h/lady-gaga/1	1
final-data-24h/lady-gaga/7	15
final-data-24h/lady-gaga/4	5
final-data-24h/carl-beane/1	5
final-data-24h/brandon-knight/2	15
final-data-24h/brandon-knight/3	19
final-data-24h/brandon-knight/1	14
final-data-24h/charlie-sloth/1	6
final-data-24h/peter-kaplan/1	23
final-data-24h/bill-hicks/2	14
final-data-24h/bill-hicks/1	2
final-data-24h/freddie-mercury/5	23
final-data-24h/freddie-mercury/2	9
final-data-24h/freddie-mercury/3	11
final-data-24h/freddie-mercury/1	8
final-data-24h/freddie-mercury/4	21
final-data-24h/alan-oakley/1	5
final-data-24h/harry-pilling/1	9
final-data-24h/ernie-chan/1	5
final-data-24h/emma-watson/1	19
final-data-24h/les-paul/1	20
final-data-24h/tony-nicklinson/1	8
final-data-24h/dave-wagstaffe/1	20
final-data-24h/big-man/2	8
final-data-24h/big-man/3	18
final-data-24h/big-man/1	6
final-data-24h/big-man/4	22
final-data-24h/jack-black/1	17
final-data-24h/marvin-miller/1	11
final-data-24h/barbara-mertz/1	20
final-data-24h/john-mccarthy/1	9
final-data-24h/jim-unger/1	5
final-data-24h/nathan-taylor/1	14
final-data-24h/randy-rhoads/2	15
final-data-24h/randy-rhoads/1	3
final-data-24h/tony-wilson/2	20
final-data-24h/tony-wilson/1	14
final-data-24h/josh-duhamel/1	16
final-data-24h/chief-keef/2	15
final-data-24h/chief-keef/1	12
final-data-24h/chris-hani/2	16
final-data-24h/chris-hani/1	4
final-data-24h/darryl-cotton/1	7
final-data-24h/jack-twyman/1	5
final-data-24h/whitney-cummings/1	2
final-data-24h/mary-kennedy/1	5
final-data-24h/john-coffee/1	9
final-data-24h/toni-nadal/1	7
final-data-24h/jack-greene/1	15
final-data-24h/ray-j/1	16
final-data-24h/joyce-brothers/1	17
final-data-24h/tony-musante/1	23
final-data-24h/ted-post/1	20
final-data-24h/baroness-thatcher/1	16
final-data-24h/mario-silva/2	18
final-data-24h/mario-silva/1	17
final-data-24h/static-major/1	9
final-data-24h/richard-thorpe/1	17
final-data-24h/stuart-freeborn/1	14
final-data-24h/lewis-marnell/1	13
final-data-24h/rita-macneil/1	16
final-data-24h/frank-wolf/1	24
final-data-24h/tom-hanks/2	7
final-data-24h/tom-hanks/3	16
final-data-24h/tom-hanks/1	6
final-data-24h/miranda-lambert/1	2
final-data-24h/kenji-utsumi/1	18
final-data-24h/hafiz-rahim/1	2
final-data-24h/lindy-boggs/1	19
final-data-24h/michael-meyer/1	24
final-data-24h/steve-appleton/1	2
final-data-24h/john-casablancas/1	19
final-data-24h/alan-arnell/1	17
final-data-24h/harlon-hill/1	15
final-data-24h/richard-leparmentier/1	16
final-data-24h/donna-summer/2	7
final-data-24h/donna-summer/3	14
final-data-24h/donna-summer/1	5
final-data-24h/ferdinand-porsche/1	4
final-data-24h/david-frost/1	21
final-data-24h/roberto-civita/1	17
final-data-24h/fireman-ed/1	11
final-data-24h/hollie-stevens/1	7
final-data-24h/adam-smith/1	9
final-data-24h/tony-martin/1	7
final-data-24h/dave-matthews/1	16
final-data-24h/scott-sterling/1	13
final-data-24h/john-egan/1	4
final-data-24h/jimmy-little/1	4
final-data-24h/kenji-eno/1	14
final-data-24h/richard-descoings/1	4
final-data-24h/ricardo-fort/1	23
final-data-24h/douglas-adams/2	15
final-data-24h/douglas-adams/1	5
final-data-24h/fran-crippen/2	22
final-data-24h/fran-crippen/1	10
final-data-24h/patrick-moore/1	12
final-data-24h/matthew-harding/2	22
final-data-24h/matthew-harding/1	10
final-data-24h/daniel-darc/1	14
final-data-24h/lewis-collins/1	23
final-data-24h/ned-wertimer/1	13
final-data-24h/frank-suero/1	6
final-data-24h/tonino-accolla/1	19
final-data-24h/stan-musial/1	13
final-data-24h/thabang-lebese/1	2
final-data-24h/george-beverly-shea/1	16
final-data-24h/besse-cooper/1	12
final-data-24h/doriano-romboni/1	23
final-data-24h/mike-brown/1	11
final-data-24h/ann-williams/1	16
final-data-24h/john-lennon/2	10
final-data-24h/john-lennon/3	12
final-data-24h/john-lennon/1	8
final-data-24h/emily-wong/1	3
final-data-24h/alfredo-landa/1	17
final-data-24h/andy-cameron/1	5
final-data-24h/pierre-fabre/1	19
final-data-24h/welles-crowther/1	21
final-data-24h/gad-elmaleh/1	10
final-data-24h/christopher-wallace/2	15
final-data-24h/christopher-wallace/3	17
final-data-24h/christopher-wallace/1	3
final-data-24h/arturo-vega/1	18
final-data-24h/bob-birch/1	8
final-data-24h/erica-kennedy/1	6
final-data-24h/jovan-belcher/1	12
final-data-24h/patrick-lovato/1	18
final-data-24h/seamus-heaney/1	20
final-data-24h/richard-thorp/1	17
final-data-24h/giuseppe-quintarelli/1	1
final-data-24h/doug-furnas/1	3
final-data-24h/dirk-bach/1	10
final-data-24h/joe-arroyo/1	2
final-data-24h/mike-morris/1	10
final-data-24h/johnny-otis/1	1
final-data-24h/douglas-engelbart/1	19
final-data-24h/mal-moore/1	15
final-data-24h/neil-young/1	8
final-data-24h/mervyn-davies/1	3
final-data-24h/donald-byrd/1	14
final-data-24h/andy-lopez/1	22
final-data-24h/shakuntala-devi/1	16
final-data-24h/tommy-gunn/1	21
final-data-24h/matt-hughes/1	11
final-data-24h/kendrick-perkins/2	24
final-data-24h/kendrick-perkins/1	1
final-data-24h/philippe-gaumont/1	17
final-data-24h/matt-leinart/1	20
final-data-24h/jimmy-sullivan/2	24
final-data-24h/jimmy-sullivan/1	12
final-data-24h/leslie-cochran/1	3
final-data-24h/jon-lee/1	1
final-data-24h/paul-cellucci/1	18
final-data-24h/tony-sly/2	19
final-data-24h/tony-sly/1	8
final-data-24h/sandeep-acharya/1	24
final-data-24h/ron-noades/1	24
final-data-24h/pepe-pimentel/1	13
final-data-24h/ron-palillo/1	8
final-data-24h/harry-potter/1	15
final-data-24h/vidar-theisen/1	8
final-data-24h/sir-bobby-robson/2	19
final-data-24h/sir-bobby-robson/1	7
final-data-24h/gatewood-galbraith/1	1
final-data-24h/alex-moulton/1	12
final-data-24h/gilles-villeneuve/2	17
final-data-24h/gilles-villeneuve/1	5
final-data-24h/eric-wright/1	15
final-data-24h/gerald-levert/1	11
final-data-24h/rob-goris/1	7
final-data-24h/jim-clark/1	16
final-data-24h/larry-cook/1	16
final-data-24h/norman-geras/1	22
final-data-24h/leslie-austin/1	3
final-data-24h/tony-blankley/1	1
final-data-24h/joginder-singh/1	23
final-data-24h/omar-gooding/1	2
